state,institutional_births,anc_4visits,full_vaccination,stunting,underweight,women_anaemia,child_anaemia,clean_fuel,sanitation,health_insurance,women_literacy,child_marriage,oop_delivery_cost,institutional_births_score,anc_4visits_score,full_vaccination_score,clean_fuel_score,sanitation_score,health_insurance_score,women_literacy_score,stunting_score,underweight_score,women_anaemia_score,child_anaemia_score,child_marriage_score,health_access_score,rank
Goa,99.8,93.65,,26.25,23.4,38.8,52.6,96.45,87.95,66.25,93.1,5.7,3796.0,100.00000000000001,100.0,,96.59705623348852,79.37336814621412,74.33214135464873,88.12377953638736,84.72456651833666,64.44120572790155,80.58252427184468,71.69926650366747,88.93667703301793,84.43732593868245,1
Kerala,99.7,78.03571428571429,83.5,23.27857142857143,19.37142857142857,35.72857142857143,38.285714285714285,70.21428571428571,98.60000000000001,52.55714285714286,97.87857142857142,5.464285714285714,5529.166666666667,99.82306578735727,79.26514844484302,65.14084507042254,60.29150117714717,97.91122715404703,58.49059438668189,100.0,99.77092877967513,78.60695530901651,85.17016963618906,97.94795668878798,89.52935504910626,84.32897895693948,2
 Lakshadweep ,99.6,88.3,,32.0,25.8,25.8,43.1,59.4,99.8,60.1,96.5,1.3,2533.0,99.64613157471449,92.89551518078105,,45.3264561580073,100.0,67.21708035338662,96.57382578553478,55.60840877704466,56.0020357646841,100.0,89.11980440097798,100.0,82.03538709046646,3
Puducherry,99.775,85.025,,28.925,21.025,48.175,52.1,91.425,88.19999999999999,27.75,91.075,7.9,4289.0,99.95576644683932,88.54650811854893,,89.64335136495157,79.80852915578762,29.790702566259988,83.09103140270398,71.1792235691269,72.7924676706688,66.57953696788648,72.6161369193154,83.4050155495269,76.12802452105599,4
Tamil Nadu,99.65,90.6,90.3,25.315625,22.25625,53.915625,57.440625,79.5,71.571875,67.903125,85.690625,12.865625,3369.25,99.73459868103588,95.94977968250134,79.50704225352113,73.141275632155,50.86488250652744,76.24467553639042,69.70920264601185,89.45594215129661,68.46299766349733,58.00504107542943,62.82281479217603,70.91948984318137,74.56814520531033,5
Chandigarh,96.9,78.7,,25.3,20.6,60.3,54.6,95.8,85.0,32.2,83.0,9.7,5546.0,94.86890783336015,80.14728073881813,,95.69757202163795,74.23846823324632,34.938998737904924,63.02217156097882,89.53506214515882,74.28690401832188,48.469006721433914,68.03178484107579,78.87911069939787,72.91956977739405,6
Mizoram,81.075,58.375,73.85000000000001,29.2875,13.2875,34.1,46.025,75.7,94.15,47.237500000000004,91.325,11.875,6692.0,66.86906868264437,53.15687813122471,44.75352112676059,67.88275254749027,90.16536118363797,52.336190576356756,83.71235833278834,69.34363971152369,100.0,87.60268857356236,83.75611246943765,73.41030900549197,72.74907336174321,7
Sikkim,96.45,64.525,,24.9,13.7,40.625,56.724999999999994,72.45,87.35,23.775,86.925,12.35,8063.25,94.07270387646777,61.32371582060723,,63.385331488237526,78.3289817232376,25.191943626419857,72.77700436330343,91.56053398803131,98.549517662572,77.85660941000748,64.13508557457213,72.21597300337459,72.67249095789371,8
Andaman & Nicobar Islands,98.33333333333333,78.93333333333334,,23.233333333333334,28.266666666666666,52.699999999999996,37.166666666666664,70.03333333333333,86.39999999999999,2.0,86.06666666666666,14.633333333333335,2547.3333333333335,97.40496488123962,80.4571336592825,,60.04109531597267,76.67536988685814,0.0,70.64378190334708,100.0,47.32844441359952,59.82076176250935,100.0,66.47477888793313,68.9860300646129,9
Uttarakhand,82.24615384615385,59.715384615384615,84.76666666666667,27.292307692307695,19.161538461538463,40.16923076923077,56.48461538461538,48.47692307692308,82.30000000000001,67.07692307692308,83.96153846153847,9.023076923076923,3460.846153846154,68.94124051917201,54.936829935320894,67.8169014084507,30.210863485489227,69.53872932985209,75.28882560434938,65.41189052284179,79.44665431239007,79.34499627191693,78.53737002355373,64.57588865901825,80.58116038662588,67.88594587158175,10
NCT of Delhi,91.60909090909091,79.39999999999999,75.86666666666666,30.718181818181815,22.12727272727273,49.5,69.16363636363636,98.9090909090909,81.0909090909091,25.236363636363638,85.15454545454546,9.60909090909091,2606.6363636363635,85.50747949171627,81.07683950021124,49.014084507042256,100.00000000000001,67.4341324471873,26.882625157761886,68.37688001297866,62.099125364431515,68.91652313263805,64.60044809559373,41.325850188930886,79.10769175243469,66.19513997091055,11
Punjab,94.88181818181819,58.445454545454545,75.01111111111112,25.386363636363637,17.65909090909091,58.77272727272727,69.69545454545454,74.72727272727273,86.50454545454545,24.986363636363638,80.95454545454545,8.818181818181818,3691.681818181818,91.29805372366094,53.25043761694935,47.20657276995307,66.53667127940624,76.85734630904344,26.593395035759364,57.938587587561244,89.09774436090227,84.62808387855233,50.75022065313328,40.350633474105365,81.09634691385503,63.80034113357349,12
Manipur,71.24444444444445,70.64444444444445,63.65,24.62222222222222,13.766666666666667,28.733333333333334,41.97777777777778,59.03333333333333,71.35555555555555,14.955555555555556,85.14444444444445,16.466666666666665,13112.333333333334,49.47545261201367,69.44997753230987,23.204225352112687,44.81905480773263,50.4883473551881,14.988547655775255,68.35177589459141,92.96711165669277,98.31509627470484,95.61862086133931,91.17766911165442,61.865060985023945,63.393411674928245,13
Himachal Pradesh,87.80833333333334,71.78333333333333,87.05000000000001,31.55,24.683333333333334,54.166666666666664,59.949999999999996,53.65,80.90833333333333,32.8,90.25,8.241666666666667,3889.25,78.78263900058978,70.96235488219551,72.64084507042257,37.36948043779091,67.116333043226,35.63315103071098,81.04065253342554,57.88706460027619,59.92859401145888,57.63007219317899,58.221271393643036,82.54593175853019,63.31319916295405,14
Dadra and Nagar Haveli & Daman and Diu,96.46666666666665,84.03333333333335,100.0,35.43333333333333,33.300000000000004,58.5,73.36666666666666,83.89999999999999,73.3,51.9,83.16666666666667,18.366666666666667,1004.0,94.1021929119082,87.22963320657533,100.00000000000001,79.230091835451,53.87293298520453,57.73033235170382,63.436389514368415,38.22310879238917,29.62962962962959,51.15758028379388,33.61858190709047,57.087716976554404,62.10984919955573,15
Haryana,95.77272727272727,60.57272727272727,77.98235294117647,26.55,20.913636363636364,60.68181818181818,69.62272727272727,57.83181818181818,85.02727272727272,25.086363636363636,81.39999999999999,12.281818181818181,1773.590909090909,92.87437670902365,56.07533047624795,53.48384424192214,43.15637187067556,74.28594034338158,26.709087084560366,59.04567920843883,83.2054626361823,73.18405794358324,47.89870323850907,40.483996443654135,72.38740879315219,60.23252158244424,16
Jammu & Kashmir,91.67999999999999,79.61,84.925,26.15,21.065,66.92999999999999,73.19500000000001,63.285000000000004,73.75,11.26,75.045,4.8,4990.45,85.63294193340839,81.35570712862918,68.15140845070421,50.702604101144814,54.6562228024369,10.713083718973495,43.251548645694186,85.2309344790548,72.6518148379485,38.56609410007469,33.93337408312958,91.19962945808244,59.670446978273425,17
Andhra Pradesh,96.85384615384615,68.71538461538461,71.76666666666667,30.384615384615383,28.76923076923077,59.01538461538462,63.47692307692308,82.86923076923077,76.7,70.83076923076922,67.64615384615385,29.407692307692308,3126.3333333333335,94.78724588906347,66.88829972466115,40.352112676056336,77.80369083677677,59.791122715404725,79.63172712857188,24.86313917795107,63.788198911722006,45.56126779737021,50.38777503303268,51.75380853864961,29.32625503260057,57.07788695515504,18
Karnataka,97.42,72.58333333333333,82.6923076923077,34.580000000000005,31.296666666666667,48.21333333333334,64.55333333333333,76.08999999999999,74.59666666666666,29.166666666666668,75.83,20.509999999999998,4854.333333333333,95.78896573910247,72.02470775235909,63.434452871072594,68.42244307460058,56.12996808819264,31.429673257607625,45.20251520615909,42.54411539051709,36.673992335037504,66.52228030868807,49.7799511002445,51.69853768278966,56.637633567197575,19
Arunachal Pradesh,80.05,35.775,65.37777777777778,26.75,14.115,38.85,56.625,52.279999999999994,84.53999999999999,28.294999999999998,73.1,18.21,9549.15,65.05549300305613,23.145409549103633,26.85446009389672,35.47364448358283,73.437771975631,30.42122423222549,38.41762512963777,82.19272671474606,97.09024452309899,80.50784167289021,64.31845965770171,57.48163832462119,56.19971161334931,20
